"Fecha","Proyecto","Tarea","Un","Integrante"
01/02/19,"ProyectoD","Test",2,
01/02/19,"ProyectoF","Test",2,
01/02/19,"ProyectoC","Reunión",6,
01/02/19,"ProyectoF","Reunión",2,
01/02/19,"ProyectoG","Estimación",3,
01/02/19,"ProyectoB","Test",1,
01/02/19,"ProyectoI","Revisión",2,
01/02/19,"ProyectoJ","Desarrollo",6,
01/02/19,"ProyectoJ","Desarrollo",14,
01/02/19,"ProyectoA","Corrección",14,
01/02/19,"ProyectoJ","Test",2,
01/02/19,"ProyectoH","Corrección",8,
01/02/19,"ProyectoB","Corrección",8,
01/02/19,"ProyectoF","Desarrollo",24,
01/02/19,"ProyectoF","Desarrollo",16,
01/02/19,"ProyectoD","Desarrollo",4,
01/02/19,"ProyectoF","Desarrollo",8,
01/02/19,"ProyectoF","Desarrollo",8,
01/02/19,"ProyectoF","Desarrollo",8,
01/02/19,"ProyectoF","Desarrollo",4,
01/02/19,"ProyectoF","Desarrollo",4,
01/02/19,"ProyectoF","Desarrollo",4,
01/02/19,"ProyectoF","Desarrollo",4,
01/02/19,"ProyectoF","Desarrollo",16,
01/02/19,"ProyectoH","Desarrollo",16,
01/02/19,"ProyectoH","Desarrollo",20,
